worldID,basinID,basinX,basinY,basinZ,basinDefID,basinLatitude,basinBase,hillID,hillX,hillY,hillZ,hillDefID,hillgws,hillgwno3,hillBase,zoneID,zoneX,zoneY,zoneZ,zoneDefID,zoneArea,zoneSlope,zoneAspect,zoneIso,zoneEH,zoneWH,zoneBase,zoneBaseID,patchID,patchX,patchY,patchZ,patchsoilID,patchLandID,patchArea,patchSlope,patchLNA,patchKsat,patchMpar,patchRZstorage,patchUnsat,patchSat,patchSnowEZ,patchSnowZ,patchSnowT,patchSnowAge,patchSnowED,patchLittercfrac,patchLitterStorage,patchLitterc1,patchLittern1,patchLitterc2,patchLitterc3,patchLitterc4,patchsoilIDc1,patchsoilIDsminn,patchsoilIDNO3,patchsoilIDc2,patchsoilIDc3,patchsoilIDc4,patchBase,strateID,stratePlantID,stratecfrac,strateGap,strateRZ,strateSnowStored,strateRainStored,stratecpool,strateleafc,stratedleafc,strateleafcstore,strateleafctrans,stratelstemc,stratelstemcstore,stratelstemctrans,stratedstemc,stratedstemcstore,stratedstemctrans,stratelrootc,stratelrootcstore,stratelrootctrans,stratedrootc,stratedrootcstore,stratedrootctrans,stratefrootc,stratefrootcstore,stratefrootctrans,stratecwdc,strateEPVleafcalloc,stratenpool,strateleafn,stratedleafn,strateleafnstore,strateleafntrans,stratelstemn,stratelstemnstore,stratelstemntrans,stratedstemn,stratedstemnstore,stratedstemntrans,stratelrootn,stratelrootnstore,stratelrootntrans,stratedrootn,stratedrootnstore,stratedrootntrans,stratefrootn,stratefrootnstore,stratefrootntrans,stratecwdn,strateRetransn,epv_wstress_days,epv_max_fparabs,epv_min_vwc,strateBase
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3607,355245,4371675,170.93231,9,2,900,3.9796,5.1876,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,11,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3710,355035,4371645,169.28004,9,2,900,3.4383,5.8998,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,12,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3711,355065,4371645,168.94589,9,2,900,4.6123,5.7339,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,13,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3712,355095,4371645,167.37315,9,2,900,6.1945,6.7274,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,14,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3718,355275,4371645,168.04833,9,2,900,4.6182,4.8208,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,15,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3820,355035,4371615,167.62407,9,2,900,2.4201,6.1287,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,16,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3821,355065,4371615,166.54694,9,2,900,4.1662,6.6577,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,17,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3822,355095,4371615,164.61029,9,2,900,5.5441,7.0541,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,18,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3823,355125,4371615,162.47702,9,2,900,7.2352,7.3355,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,19,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3829,355305,4371615,165.32911,9,2,900,4.6691,5.1906,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,20,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
